Time,Speed/X,Speed/Y,Speed/Z,Brake pedal force,Gas pedal,Banking,Banking Angle,Gradient,Gradient Angle,Calculated lateral acceleration,Steering wheel speed,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Yaw %ground,Yaw acceleration,Yaw speed,anger score
150.049,37.5502,-0.0553548,0.0279648,0,0.0947867,0.0200667,1.14958,-0.00502479,-0.287897,0.00862356,0,0.0411647,-0.039655,-0.000346482,0.0756436,0.0612244,0.0113159,57.5832,0.297809,0.0473696,5
150.099,37.5458,-0.0547207,0.0279787,0,0.0947867,0.0200005,1.14579,-0.00502304,-0.287796,0.0102861,0,0.0412559,-0.0642914,-1.59E-05,0.0800286,0.0622703,0.0154163,57.5858,0.149727,0.0565086,5
150.149,37.5413,-0.05404,0.0279992,0,0.0947867,0.0200731,1.14995,-0.00502135,-0.2877,0.0121577,0,0.0413424,-0.0640231,-0.000486512,0.0766214,-0.130509,0.016925,57.5888,0.106552,0.0667987,5
150.199,37.5369,-0.0533106,0.0280322,0,0.0947867,0.0200011,1.14583,-0.00501836,-0.287528,0.0142001,0,0.0414724,-0.0779636,-0.00124284,0.0816157,0.127964,0.018089,57.5924,0.345117,0.0780292,5
150.25,37.5325,-0.0526206,0.0280409,0,0.0947867,0.0200636,1.14941,-0.00501669,-0.287433,0.0161274,6,0.0414833,-0.0705663,-0.00212319,0.0789988,-0.184513,0.0158407,57.5967,0.0115837,0.0886304,5
150.299,37.5281,-0.0522345,0.0280389,0,0.0947867,0.020002,1.14587,-0.00501493,-0.287332,0.0170634,0,0.041484,-0.00469457,-0.00170985,0.0831835,-0.10933,0.0120863,57.6012,-0.0114994,0.0937853,5
150.349,37.5237,-0.051894,0.0280237,0,0.0947867,0.0200886,1.15084,-0.00501239,-0.287186,0.0177168,0,0.0415649,0.0528479,-0.000890593,0.078756,0.118436,0.00893903,57.606,0.250602,0.0973881,5
150.399,37.5192,-0.0515413,0.0280565,0,0.0947867,0.0200028,1.14592,-0.00501066,-0.287087,0.0185867,6,0.0416393,-0.0211931,-0.000306159,0.0841772,-0.0846185,0.00794374,57.6111,-0.141396,0.102182,5
150.45,37.5148,-0.0515645,0.0281164,0,0.0947867,0.0200808,1.15039,-0.00500887,-0.286985,0.0182517,0,0.0417261,-0.0253524,-0.000220925,0.0799004,0.157076,0.000251959,57.6162,0.184371,0.100352,5
150.499,37.5104,-0.0516821,0.0281954,0,0.0947867,0.0200038,1.14598,-0.00500849,-0.286963,0.017799,-6,0.0417533,0.0102835,0.000276831,0.0843285,-0.180626,-0.00133057,57.6212,-0.023225,0.0978744,5
150.55,37.5059,-0.0515338,0.0282627,0,0.0947867,0.0200906,1.15095,-0.00500588,-0.286814,0.0179685,-6,0.0419127,0.0250887,0.000151437,0.0793425,0.0127648,0.00353725,57.6261,0.192774,0.0988181,5
150.599,37.5015,-0.0516565,0.0283458,0,0.0947867,0.0200046,1.14603,-0.00500419,-0.286717,0.0176076,6,0.0420127,-0.0637329,-0.000130182,0.0843616,0.079918,0.000330619,57.6309,-0.021115,0.0968448,5
150.649,37.4971,-0.0513668,0.0283977,0,0.0947867,0.020118,1.15252,-0.00500246,-0.286617,0.0184234,0,0.0421023,-0.03918,-0.000290962,0.0780218,-0.160355,0.00392432,57.6359,-0.0472844,0.101344,5
150.699,37.4931,-0.0514667,0.0284384,0,0.0971564,0.0200057,1.14609,-0.0050007,-0.286517,0.0181295,0,0.0421402,-0.106905,-0.00312295,0.0845166,0.0706385,-0.000475662,57.641,0.0606989,0.0997377,5
150.749,37.489,-0.0516284,0.0283876,0,0.0947867,0.0201293,1.15317,-0.00499964,-0.286456,0.0175495,6,0.0420429,0.0690039,-0.00182074,0.0773672,-0.0701964,-0.00347696,57.6459,-0.246652,0.0965576,5
150.799,37.4845,-0.0517583,0.0284294,0,0.0947867,0.0200068,1.14615,-0.00499775,-0.286347,0.0171243,0,0.0421184,-0.0790094,-0.000144925,0.0842117,0.272616,-0.00155214,57.6507,0.00770762,0.0942292,5
150.849,37.4801,-0.0522438,0.0285117,0,0.0947867,0.0200065,1.14614,-0.00499726,-0.28632,0.0157777,0,0.0421316,0.0508603,-0.000593594,0.0839986,0.0401898,-0.00752907,57.6552,-0.143489,0.0868295,5
